rank,prev_rank,name,league,off,def,spi
534,535,Apollon Smyrni,Greek Super League,0.59,1.45,24.03
535,557,Coventry City,English League One,0.71,1.65,23.95
536,549,Saint Louis FC,United Soccer League,0.78,1.77,23.85
537,540,Kalmar FF,Swedish Allsvenskan,0.61,1.5,23.73
538,542,IK Sirius,Swedish Allsvenskan,1.02,2.15,23.61
539,551,Lugo,Spanish Segunda Division,0.71,1.67,23.51
540,527,Real Monarchs SLC,United Soccer League,0.84,1.89,23.36
541,506,AmaZulu,South African ABSA Premier League,0.8,1.84,23.3
542,510,San Antonio FC,United Soccer League,0.96,2.09,23.28
543,543,Vejle,Danish SAS-Ligaen,0.72,1.71,23.26
544,547,Ascoli,Italy Serie B,0.68,1.68,22.75
545,531,Rayo Majadahonda,Spanish Segunda Division,0.75,1.79,22.71
546,555,Golden Arrows,South African ABSA Premier League,0.62,1.58,22.58
547,541,AC Ajaccio,French Ligue 2,0.67,1.67,22.55
548,539,Chateauroux,French Ligue 2,0.64,1.62,22.44
549,561,Lincoln City,English League Two,0.76,1.83,22.39
550,538,Pittsburgh Riverhounds,United Soccer League,0.73,1.78,22.22
551,565,Gillingham,English League One,0.8,1.93,21.94
552,528,NAC,Dutch Eredivisie,0.88,2.06,21.86
553,556,Reus Deportiu,Spanish Segunda Division,0.56,1.53,21.75
554,553,Livorno,Italy Serie B,0.65,1.7,21.6
555,550,Bloem Celtic,South African ABSA Premier League,0.69,1.77,21.54
556,560,St Johnstone,Scottish Premiership,0.66,1.72,21.46
557,571,Fresno FC,United Soccer League,0.7,1.8,21.45
558,559,Cordoba,Spanish Segunda Division,0.91,2.17,20.91
559,567,Charleston Battery,United Soccer League,0.69,1.83,20.89
560,562,Charlotte Independence,United Soccer League,0.87,2.12,20.85
561,545,Niort,French Ligue 2,0.57,1.62,20.81
562,563,F.B.C Unione Venezia,Italy Serie B,0.63,1.73,20.79
563,558,Plymouth Argyle,English League One,0.72,1.89,20.63
564,566,Oxford United,English League One,0.66,1.79,20.56
565,568,Austin Bold FC,United Soccer League,0.72,1.91,20.27
566,580,Scunthorpe,English League One,0.69,1.88,20.19
567,554,Peterborough United,English League One,0.78,2.05,19.81
568,569,Padova,Italy Serie B,0.59,1.74,19.71
569,548,Milton Keynes Dons,English League Two,0.8,2.1,19.71
570,575,Shrewsbury Town,English League One,0.62,1.81,19.41
571,576,IK Start,Norwegian Tippeligaen,0.74,2.04,19.26
572,572,Carpi,Italy Serie B,0.67,1.93,19.03
573,591,Portland Timbers 2,United Soccer League,0.74,2.05,18.93
574,595,Free State Stars,South African ABSA Premier League,0.66,1.91,18.92
575,588,LA Galaxy II,United Soccer League,0.93,2.38,18.91
576,581,Central Coast Mariners,Australian A-League,0.93,2.37,18.87
577,574,Mansfield Town,English League Two,0.58,1.79,18.85
578,590,New Mexico United,United Soccer League,0.74,2.08,18.57
579,579,Chippa United,South African ABSA Premier League,0.48,1.63,18.52
580,564,Blackpool,English League One,0.54,1.73,18.52
581,573,Gimnástic Tarragona,Spanish Segunda Division,0.5,1.66,18.46
582,552,Southend United,English League One,0.73,2.08,18.37
583,578,Matsumoto Yamaga FC,Japanese J League,0.53,1.74,18.22
584,582,Dalkurd FF,Swedish Allsvenskan,0.65,1.96,18.19
585,585,Maritzburg Utd,South African ABSA Premier League,0.43,1.58,17.91
586,577,Baroka FC,South African ABSA Premier League,0.5,1.74,17.61
587,570,Wycombe Wanderers,English League One,0.72,2.14,17.47
588,602,Accrington Stanley,English League One,0.58,1.91,17.2
589,604,Exeter City,English League Two,0.48,1.77,16.72
590,584,Colorado Springs Switchbacks FC,United Soccer League,0.59,1.97,16.64
591,592,Black Leopards,South African ABSA Premier League,0.58,1.99,16.2
592,598,Ottawa Fury FC,United Soccer League,0.48,1.81,16.18
593,586,Bethlehem Steel FC,United Soccer League,0.56,1.96,16.09
594,587,Bradford City,English League One,0.62,2.11,15.77
595,583,Carlisle United,English League Two,0.66,2.2,15.67
596,603,Walsall,English League One,0.64,2.16,15.57
597,608,AFC Wimbledon,English League One,0.43,1.78,15.46
598,615,Tranmere Rovers,English League Two,0.56,2.03,15.44
599,614,Forest Green Rovers,English League Two,0.52,1.95,15.44
600,597,Brommapojkarna,Swedish Allsvenskan,0.67,2.24,15.39
601,589,Oldham Athletic,English League Two,0.64,2.2,15.22
602,599,GFC Ajaccio,French Ligue 2,0.54,2.02,15.16
603,609,Beziers AS,French Ligue 2,0.33,1.6,15.1
604,611,Sochaux,French Ligue 2,0.41,1.75,15.09
605,596,St Mirren,Scottish Premiership,0.58,2.13,14.78
606,600,Northampton Town,English League Two,0.5,1.98,14.69
607,605,Swope Park Rangers,United Soccer League,0.63,2.25,14.37
608,606,Dundee,Scottish Premiership,0.57,2.17,14.1
609,610,El Paso Locomotive FC,United Soccer League,0.5,2.08,13.7
610,612,Hartford Athletic,United Soccer League,0.54,2.15,13.65
611,601,Birmingham Legion FC,United Soccer League,0.51,2.1,13.59
612,624,Crewe Alexandra,English League Two,0.54,2.16,13.59
613,613,Toronto FC II,United Soccer League,0.82,2.73,13.27
614,594,Red Star FC 93,French Ligue 2,0.41,1.95,13.1
615,621,Las Vegas Lights FC,United Soccer League,0.55,2.35,11.93
616,618,Penn FC,United Soccer League,0.41,2.07,11.9
617,619,Trelleborgs FF,Swedish Allsvenskan,0.57,2.41,11.9
618,617,Rochdale,English League One,0.62,2.52,11.75
619,607,Swindon Town,English League Two,0.38,2.02,11.75
620,625,Morecambe,English League Two,0.45,2.18,11.73
621,593,Colchester United,English League Two,0.47,2.23,11.59
622,616,Cheltenham Town,English League Two,0.51,2.33,11.43
623,623,Hamilton Academical,Scottish Premiership,0.46,2.24,11.33
624,631,Tulsa Roughnecks,United Soccer League,0.6,2.55,11.24
625,628,Stevenage,English League Two,0.32,2.05,10.22
626,620,Rio Grande Valley FC Toros,United Soccer League,0.33,2.09,10.11
627,622,Memphis 901 FC,United Soccer League,0.36,2.17,10.09
628,630,Port Vale,English League Two,0.2,1.93,8.81
629,627,Atlanta United 2,United Soccer League,0.33,2.31,8.49
630,629,Newport County,English League Two,0.28,2.25,8.13
631,626,Grimsby Town,English League Two,0.26,2.2,8.03
632,635,Macclesfield,English League Two,0.32,2.39,7.88
633,634,Cambridge United,English League Two,0.2,2.08,7.72
634,636,Loudoun United FC,United Soccer League,0.21,2.27,6.72
635,632,Tacoma Defiance,United Soccer League,0.26,2.47,6.35
636,633,Crawley Town,English League Two,0.2,2.35,6.12
637,638,Notts County,English League Two,0.23,2.56,5.53
638,637,Yeovil Town,English League Two,0.2,2.54,5.23
639,639,Richmond Kickers,United Soccer League,0.26,2.97,4.2
